Track Name,Album Name,Artist Name(s),Release Date,Genres
Bahut Pyar Karte Hai - Male Version,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
Hai Apna Dil To Aawara (Happy),"Baarishein, Chai Aur Hemant Kumar",Hemant Kumar,7/12/2023,"bangla pop,ghazal,marathi pop"
Kitna Pyara Wada Hai,#HumForLataDidi,"Lata Mangeshkar,Mohammed Rafi",2/3/2023,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Tumse Milne Ki Tamanna Hai,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood"
Jeena Nahi,Tezaab,"Amit Kumar,Anuradha Paudwal",6/10/1988,"bollywood,bhajan,devotional,marathi pop,ghazal,hindi pop"
"O Jaana Na Jaana, Pt. 1",Jab Pyaar Kisise Hota Hai (Original Motion Picture Soundtrack),"Kumar Sanu,Lata Mangeshkar",5/22/1998,"bollywood,hindi pop,ghazal,bhajan,marathi pop"
Chup Gaye Sare Nazare,Do Raaste,"Lata Mangeshkar,Mohammed Rafi,Laxmikant–Pyarelal",12/5/1969,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Sun Sahiba Sun,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Aaj Phir Tum Pe,Dayavan,"Pankaj Udhas,Anuradha Paudwal",3/7/1988,"ghazal,qawwali,sufi,bhajan,devotional,marathi pop,bollywood,hindi pop"
Dafli Wale Dafli Baja,Sargam,"Lata Mangeshkar,Mohammed Rafi,Laxmikant–Pyarelal",1/8/1979,"ghazal,bollywood,bhajan,hindi pop,marathi pop"
Janam Janam Ka Saath Hai - From Bheegi Palken,Audiobiography,"Mohammed Rafi,Lata Mangeshkar",1/1/2012,"ghazal,hindi pop,bollywood,bhajan,marathi pop"
Kabhi Kabhi Mere Dil Mein (Duet),#HumForLataDidi,"Mukesh,Lata Mangeshkar",2/3/2023,"ghazal,tamil dance,bollywood,bhajan,hindi pop,marathi pop"
Jai Jai Shiv Shankar,Aap Ki Kasam,"Lata Mangeshkar,Kishore Kumar,R. D. Burman",4/17/1974,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Tere Dar Par Sanam - Male Version,Phir Teri Kahani Yaad Aayee (Original Motion Picture Soundtrack),Kumar Sanu,7/30/1993,"bollywood,hindi pop"
Der Na Ho Jaye Kahin,Henna,"Lata Mangeshkar,Suresh Wadkar,Mohammad Sayeed,Farid Sabri,Satish",6/28/1991,"ghazal,bollywood,bhajan,hindi pop,marathi pop,devotional,qawwali"
Sawan Ka Mahina,Milan,"Lata Mangeshkar,Mukesh,Laxmikant–Pyarelal",1/1/1967,"ghazal,bollywood,bhajan,hindi pop,marathi pop,tamil dance"
Chand Jaise Mukhde Pe,Sawan Ko Aane Do,K. J. Yesudas,12/31/1979,"malayalam pop,devotional,mollywood,tamil pop"
Kitni Bechain Hoke,Kasoor,"Alka Yagnik,Udit Narayan",2/2/2001,"bollywood,hindi pop,desi"
Zindagi Ban Gaye Ho Tum,Kasoor,"Alka Yagnik,Udit Narayan",2/2/2001,"bollywood,hindi pop,desi"
Mere Mehboob Mere Sanam,Alka Yagnik Ke Nagme,"Udit Narayan,Alka Yagnik",3/1/2023,"bollywood,hindi pop,desi"
Tauba Tumhare Ishare (From Chalte Chalte),Romantic Hits Of Abhijeet Bhattacharya,"Abhijeet,Alka Yagnik",2/4/2025,"bollywood,hindi pop,desi"
