Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4APKfi2FMNCu5zo6RwUq1O,Tere Mere Milan Ki Yeh Raina,Remembering Lata Mangeshkar,"Lata Mangeshkar,Kishore Kumar",2/18/2022,294333,41,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:13:53Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.3,0.52,7,-5.682,0,0.0325,0.822,0.00000482,0.0452,0.541,85.233,3
7yJVavhTsIrjM1KleXlpHR,Karvaten Badalte Rahe,Aap Ki Kasam,"Kishore Kumar,Lata Mangeshkar,R. D. Burman",4/17/1974,310813,49,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:14:15Z,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop",Saregama,0.255,0.397,10,-12.411,1,0.0352,0.882,0.0000058,0.128,0.595,81.232,3
3wY157vtLumAlFxBKTeInE,O Mere Sona Re Sona,Teesri Manzil,"Asha Bhosle,Mohammed Rafi,R. D. Burman",1/1/1966,300088,50,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:14:26Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.676,0.551,3,-6.586,1,0.0813,0.915,0,0.294,0.907,108.82,4
7fSiWSMJlLHpGX7bZjjhAM,Gori Tera Gaon Bada Pyara,Common Man Superstar Amol Palekar,K. J. Yesudas,3/30/2023,307560,41,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:14:35Z,"malayalam pop,devotional,mollywood,tamil pop",Saregama,0.452,0.686,2,-7.804,1,0.0361,0.813,0.000419,0.359,0.76,143.294,3
2dgbRnCqHa7bYlqWSytvKD,Zeehale Muskin - From Ghulami,"The Legend Forever, Vol. 1","Lata Mangeshkar,Shabbir Kumar",1/1/2012,446440,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:14:46Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bhojiwood",Universal Music India Pvt Ltd.,0.496,0.83,11,-3.103,0,0.0492,0.871,0.000165,0.238,0.779,133.491,4
4kCWHZwcFXbpRRvOoXovNL,Aawaz Do Humko - Happy,Dushman,"Udit Narayan,Lata Mangeshkar",5/29/1998,358160,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:18:18Z,"bollywood,hindi pop,desi,ghazal,bhajan,marathi pop",Saregama,0.751,0.564,2,-12.159,1,0.0451,0.467,0.0017,0.203,0.887,136.055,4
3rLSVdt9C2Pg2jo90oltnU,Ek Ladki Ko Dekha,1942 A Love Story,"Kumar Sanu,R. D. Burman",4/15/1994,275386,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:18:38Z,"bollywood,hindi pop,ghazal,bangla pop",Saregama,0.517,0.495,10,-10.129,1,0.0326,0.583,0,0.0622,0.826,81.402,4
43TsFFiJhkU8Lsame8tFv5,Goom Hai Kisi Ke Pyar Mein,Raampur Ka Lakshman,"Kishore Kumar,Lata Mangeshkar,R. D. Burman",7/26/1972,254933,49,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:18:57Z,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop",Saregama,0.6,0.323,0,-13.781,0,0.0418,0.862,0.00033,0.235,0.567,116.699,4
1uzOlgvER5kJHSu6JZx64C,Bahon Mein Chale Aao,Lata Surili Phuljhadi,Lata Mangeshkar,10/26/2021,241666,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:19:04Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.482,0.211,6,-16.491,1,0.0353,0.8,0.00000148,0.159,0.612,72.754,4
0QBgCQM3VQCSbd4M5I2N43,Mera Chand Mujhe Aaya Hai Nazar,Mr. Aashiq,Kumar Sanu,1/1/1999,351266,56,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:19:22Z,"bollywood,hindi pop",Saregama,0.551,0.761,2,-7.427,1,0.0275,0.148,0,0.0794,0.751,102.052,4
